iter	Passed	Remaining
0	1	293
1	2	290
2	4	279
3	5	271
4	7	273
5	8	273
6	9	268
7	11	264
8	12	263
9	13	265
10	15	263
11	16	260
12	17	257
13	19	254
14	20	251
15	21	249
16	23	247
17	24	245
18	25	243
19	27	248
20	28	246
21	30	246
22	31	243
23	32	241
24	34	239
25	35	239
26	37	237
27	38	235
28	39	233
29	40	231
30	42	231
31	43	229
32	44	227
33	46	225
34	47	224
35	48	222
36	50	220
37	51	218
38	52	217
39	54	216
40	55	214
41	56	213
42	57	211
43	59	209
44	60	207
45	61	206
46	62	204
47	64	203
48	65	201
49	66	199
50	67	198
51	69	196
52	70	195
53	71	194
54	73	192
55	74	191
56	75	190
57	77	188
58	78	187
59	79	186
60	81	185
61	82	183
62	83	182
63	84	180
64	86	179
65	87	177
66	88	176
67	90	174
68	91	173
69	92	171
70	93	170
71	95	169
72	96	167
73	97	166
74	98	164
75	100	163
76	101	162
77	102	160
78	104	159
79	105	158
80	106	156
81	107	155
82	109	154
83	110	152
84	111	151
85	113	149
86	114	148
87	115	147
88	116	145
89	118	145
90	120	143
91	121	142
92	122	140
93	123	139
94	125	138
95	126	136
96	127	135
97	129	134
98	130	132
99	131	131
100	132	130
101	134	129
102	135	127
103	136	126
104	138	125
105	139	124
106	141	122
107	142	121
108	143	120
109	145	118
110	146	117
111	147	115
112	148	114
113	150	113
114	151	111
115	152	110
116	154	109
117	155	108
118	156	106
119	157	105
120	159	103
121	160	102
122	161	101
123	163	100
124	164	98
125	165	97
126	166	95
127	168	94
128	169	93
129	170	91
130	171	90
131	173	89
132	174	87
133	175	86
134	177	85
135	178	84
136	180	82
137	181	81
138	182	80
139	183	78
140	185	77
141	186	76
142	187	74
143	189	73
144	190	72
145	191	71
146	193	69
147	194	68
148	195	67
149	197	65
150	198	64
151	199	63
152	200	61
153	202	60
154	203	59
155	204	57
156	205	56
157	207	55
158	208	53
159	210	52
160	211	51
161	212	49
162	214	48
163	215	47
164	217	46
165	218	44
166	219	43
167	221	42
168	222	40
169	223	39
170	224	38
171	226	36
172	227	35
173	229	34
174	230	32
175	231	31
176	232	30
177	234	28
178	235	27
179	236	26
180	238	25
181	239	23
182	241	22
183	243	21
184	244	19
185	245	18
186	246	17
187	248	15
188	249	14
189	250	13
190	252	11
191	253	10
192	255	9
193	256	7
194	258	6
195	259	5
196	260	3
197	262	2
198	263	1
199	264	0
