platform_shop_id,predicted_treatment_effect,treated_actual
ba_10015935,89.99077272631776,1
ba_10016162,83.78548518260877,1
ba_10019194,91.56150126667833,1
ba_10019807,64.72661197118641,1
ba_10020109,139.43248991382464,1
ba_10022124,-62.24934465317857,1
ba_10024499,60.33310121726206,0
ba_10040420,27.281676767822965,1
ba_10040590,-72.0612762738254,1
ba_10040621,67.14016907665864,1
ba_10040679,68.18509504104533,1
ba_10040685,92.07826055123485,1
ba_10041246,42.80901590911486,1
ba_10204887,-55.41832590787505,1
ba_10401021,19.18272353302533,1
ba_10416959,65.24830323784052,0
ba_10418082,21.773345814485396,1
ba_10432360,17.566169684248624,1
ba_10469515,-49.58517099329628,1
ba_10476209,-100.49186029884078,1
ba_10497667,99.97701601190886,1
ba_10499851,53.119904851470835,0
ba_10501929,-57.644534644864066,1
ba_10509105,-21.181980275680598,1
ba_10571616,-83.06069168332667,1
ba_10580903,-42.67881404303125,1
ba_10583009,61.61667161096906,1
ba_10597203,46.96513704749676,1
ba_10604883,-48.64519973939157,1
ba_10605803,51.549088811686104,1
ba_10620671,61.00333855797393,0
ba_10627648,-84.61345222284436,1
ba_10636815,53.47427034706658,1
ba_10636817,-65.47383624882251,1
ba_10638951,105.46784239505268,1
ba_10657170,-84.40105230824165,1
ba_10685624,34.58709184261141,1
ba_10698232,15.776568226960716,1
ba_10698315,-68.81843904928763,1
ba_10705443,35.338133731819035,1
ba_10706208,42.2838737471432,1
ba_10739524,85.98879029401554,1
ba_10739556,101.54413593736392,1
ba_10750970,87.37454324337138,1
ba_10759478,-6.448382682774323,1
ba_10768614,-34.618274556896665,1
ba_10771255,-10.355123418204517,1
ba_10774000,62.79524662849088,1
ba_10774794,64.06701756334358,1
ba_10776500,-83.02393022757173,1
ba_10798649,53.09143937690988,1
ba_10800862,-151.2142790232758,1
ba_10821092,32.9619556490521,1
ba_10840065,49.101819090578125,0
ba_10841421,-62.41153372161601,1
ba_10841883,12.188213845942075,1
ba_10872945,22.923762837393554,1
ba_12014214,-66.3573370605715,1
ba_12015187,34.363445587501374,1
ba_12016615,34.081090099398864,1
ba_12018905,49.101819090578125,1
ba_12019541,23.498876906201165,1
ba_12020564,-94.87937204958371,1
ba_12029686,-58.707643073694456,1
ba_13003575,46.55186925256648,1
ba_13052096,71.64117297085332,1
ba_13056957,47.63699316538767,0
ba_13062668,-20.83339154284679,1
ba_13076527,74.393874260461,1
ba_13081281,123.20094613524684,1
ba_13085339,23.683618500333353,1
ba_13103901,17.538641128590374,1
ba_13168465,45.65959716446507,1
ba_13181486,61.65102039054203,1
ba_13181699,61.384753815021185,1
ba_13181719,31.252501576839503,0
ba_13181957,42.287839597540234,1
ba_13182018,51.79073127738545,1
ba_13182129,31.814928386102526,1
ba_13186079,39.94376446003946,0
ba_13188150,46.23131188135986,1
ba_13189796,31.453736637981123,1
ba_13189894,38.49653122714489,0
ba_13193158,58.11411156931346,1
ba_13199208,29.37827181743596,0
ba_13199335,44.22141227717279,1
ba_13199394,40.65851229578372,1
ba_13199864,41.81188218833962,1
ba_13200219,41.5420283650523,1
ba_13200236,32.50663510077371,1
ba_13203399,52.74814354635228,1
ba_13207953,49.101819090578125,0
ba_13219045,32.50663510077371,1
ba_13219094,48.55748621242001,1
ba_13219734,61.41851915462129,1
ba_13219951,59.209602770288676,1
ba_13221638,26.989196987591907,1
ba_13221865,33.96767289846951,1
ba_13221975,65.20319069998999,1
ba_13222051,39.917977547801826,1
ba_13222170,64.35987448893363,1
ba_13222803,41.93481905096286,1
ba_13223141,61.26967092767411,1
ba_13223329,42.20851550157746,1
ba_13223367,41.48328673228626,1
ba_13223504,63.760251017274754,1
ba_13223520,35.60410453202154,1
ba_13223538,47.26368102960399,1
ba_13223654,43.35055356868243,1
ba_13223711,44.75324681943108,1
ba_13224027,39.66683348806456,1
ba_13224710,44.20933909528735,1
ba_13224790,68.5217667413349,1
ba_13224802,43.9614576120224,1
ba_13224833,60.29266442904934,1
ba_13224844,33.00224205575755,1
ba_13225746,34.83653684461851,1
ba_13225754,74.9934600562067,0
ba_13225842,36.71345664747703,1
ba_13225939,36.36155279553535,1
ba_13226530,35.688040240059195,1
ba_13226546,48.446304775443394,0
ba_13226567,49.101819090578125,1
ba_13226580,32.56865154743801,1
ba_13226670,51.8244260860363,0
ba_13226843,41.288520327134016,1
ba_13226851,30.92555090887247,1
ba_13226860,62.6011204639771,1
ba_13226947,38.627813658511535,1
ba_13227070,57.229813044444235,1
ba_13227516,51.08231959648573,1
ba_13227543,51.99652360850728,1
ba_13227659,31.53362229438505,0
ba_13227696,64.20284995244066,1
ba_13228166,52.83848275894393,1
ba_13228453,28.840384298752426,1
ba_13228520,36.2129168107479,1
ba_13228647,40.752251629424784,0
ba_13228668,48.84806500374435,1
ba_13228675,49.589042165467625,1
ba_13228677,32.23196109141959,1
ba_13228869,44.13416945472849,1
ba_13228874,38.48370148783804,0
ba_13228878,42.63409300126655,1
ba_13228909,61.5515289325619,1
ba_13228939,32.50663510077371,0
ba_13228945,37.401766372957916,1
ba_13228978,51.769638670619216,1
ba_13228993,45.171626525486,1
ba_13229107,41.00165102734829,1
ba_13229152,50.30735006242471,1
ba_13229173,56.37221468561651,1
ba_13229184,61.14820341698566,1
ba_13229527,43.318571239843074,1
ba_13229560,61.70597071058572,1
ba_13229747,30.871829338223947,1
ba_13229858,47.10612798168996,0
ba_13229960,42.1147608912154,1
ba_13229975,34.43494413973675,1
ba_13230007,27.583746120221882,1
ba_13230502,59.871729850780824,0
ba_13230793,34.78997708659519,1
ba_13230813,33.487443298075604,1
ba_13230824,43.503344852570315,1
ba_13230834,44.301084903453024,1
ba_13230838,39.19199039482492,1
ba_13230846,63.566936988778636,1
ba_13230879,37.2912289098754,1
ba_13230903,36.48464059577849,1
ba_13230921,30.401558884283993,1
ba_13230969,41.0240809425788,1
ba_13231050,58.922125722587495,1
ba_13231120,57.8669938065367,1
ba_13231147,70.63197014437347,1
ba_13231157,41.204550706573514,1
ba_13231195,48.80988756178851,1
ba_13231481,42.00791940872706,1
ba_13231795,57.19165361960312,1
ba_13231958,39.005921149735705,1
ba_13232110,49.28221739441357,1
ba_13232134,46.36603467592741,1
ba_13232348,46.55525288835871,1
ba_13232508,36.55730054819213,1
ba_13233115,40.567620330969795,1
ba_13233212,42.21889939611131,1
ba_13233433,50.18325007381979,1
ba_13233436,45.212192919054566,1
ba_13233445,39.466488265021916,1
ba_13233448,43.26415486749524,1
ba_13233454,31.05679031860151,1
