platform_shop_id,source,visibility_score,review_count,avg_rating,blog_mention_30d,sns_mention_30d,raw,competitor_count_1km,total_shops_1km,competition_density
ba_10015935,sbiz_commercial,,,,,,"{""error"": ""geocoding_failed"", ""shop_name"": ""굽네치킨 봉곡사림점""}",,,
ba_10016162,sbiz_commercial,,,,,,"{""error"": ""geocoding_failed"", ""shop_name"": ""굽네치킨 신월사파점""}",,,
ba_10019194,sbiz_commercial,,,,,,"{""error"": ""geocoding_failed"", ""shop_name"": ""굽네치킨&피자 신탄진점""}",,,
ba_10019807,sbiz_commercial,,,,,,"{""error"": ""geocoding_failed"", ""shop_name"": ""굽네치킨 부산덕천점""}",,,
ba_10020109,sbiz_commercial,,,,,,"{""error"": ""geocoding_failed"", ""shop_name"": ""굽네치킨 부산동삼점""}",,,
ba_10022124,sbiz_commercial,,,,,,"{""competitor_count_1km"": 249, ""total_shops_1km"": 1000, ""competition_density"": 0.249, ""lat"": 37.5089606904603, ""lng"": 126.732228235138, ""address_name"": ""인천 부평구 체육관로 27"", ""region_2depth"": ""부평구"", ""region_3depth"": ""삼산동""}",249.0,1000.0,0.249
ba_10024499,sbiz_commercial,,,,,,"{""competitor_count_1km"": 74, ""total_shops_1km"": 154, ""competition_density"": 0.4805, ""lat"": 36.3352241863307, ""lng"": 126.610175737769, ""address_name"": ""충남 보령시 명천로3길 33"", ""region_2depth"": ""보령시"", ""region_3depth"": ""명천동""}",74.0,154.0,0.4805
ba_10040420,sbiz_commercial,,,,,,"{""competitor_count_1km"": 275, ""total_shops_1km"": 630, ""competition_density"": 0.4365, ""lat"": 35.3089592242734, ""lng"": 128.735429322581, ""address_name"": ""경남 김해시 진영읍 장등로 30"", ""region_2depth"": ""김해시"", ""region_3depth"": ""진영읍 진영리""}",275.0,630.0,0.4365
ba_10040590,sbiz_commercial,,,,,,"{""competitor_count_1km"": 31, ""total_shops_1km"": 136, ""competition_density"": 0.2279, ""lat"": 37.8063254656062, ""lng"": 127.095720264792, ""address_name"": ""경기 양주시 삼숭로 157"", ""region_2depth"": ""양주시"", ""region_3depth"": ""삼숭동""}",31.0,136.0,0.2279
ba_10040621,sbiz_commercial,,,,,,"{""competitor_count_1km"": 90, ""total_shops_1km"": 262, ""competition_density"": 0.3435, ""lat"": 35.5755199537733, ""lng"": 129.308081490919, ""address_name"": ""울산 중구 백양로 14"", ""region_2depth"": ""중구"", ""region_3depth"": ""성안동""}",90.0,262.0,0.3435
ba_10040679,sbiz_commercial,,,,,,"{""competitor_count_1km"": 209, ""total_shops_1km"": 480, ""competition_density"": 0.4354, ""lat"": 35.1748133763716, ""lng"": 128.093367303862, ""address_name"": ""경남 진주시 진주대로 830"", ""region_2depth"": ""진주시"", ""region_3depth"": ""주약동""}",209.0,480.0,0.4354
ba_10040685,sbiz_commercial,,,,,,"{""competitor_count_1km"": 146, ""total_shops_1km"": 544, ""competition_density"": 0.2684, ""lat"": 35.2597518303573, ""lng"": 128.614247158308, ""address_name"": ""경남 창원시 의창구 의창대로132번길 25"", ""region_2depth"": ""창원시 의창구"", ""region_3depth"": ""팔용동""}",146.0,544.0,0.2684
ba_10041246,sbiz_commercial,,,,,,"{""competitor_count_1km"": 161, ""total_shops_1km"": 588, ""competition_density"": 0.2738, ""lat"": 37.5846216683642, ""lng"": 126.907749703001, ""address_name"": ""서울 은평구 증산서길 98"", ""region_2depth"": ""은평구"", ""region_3depth"": ""증산동""}",161.0,588.0,0.2738
ba_10204887,sbiz_commercial,,,,,,"{""competitor_count_1km"": 301, ""total_shops_1km"": 894, ""competition_density"": 0.3367, ""lat"": 35.8422010759991, ""lng"": 128.707802712966, ""address_name"": ""대구 수성구 달구벌대로637길 22-3"", ""region_2depth"": ""수성구"", ""region_3depth"": ""매호동""}",301.0,894.0,0.3367
ba_10401021,sbiz_commercial,,,,,,"{""competitor_count_1km"": 239, ""total_shops_1km"": 1000, ""competition_density"": 0.239, ""lat"": 37.4753377236089, ""lng"": 126.895142963641, ""address_name"": ""서울 금천구 시흥대로149길 48"", ""region_2depth"": ""금천구"", ""region_3depth"": ""가산동""}",239.0,1000.0,0.239
ba_10416959,sbiz_commercial,,,,,,"{""competitor_count_1km"": 182, ""total_shops_1km"": 684, ""competition_density"": 0.2661, ""lat"": 37.4593525763773, ""lng"": 127.167013047253, ""address_name"": ""경기 성남시 중원구 산성대로552번길 11"", ""region_2depth"": ""성남시 중원구"", ""region_3depth"": ""은행동""}",182.0,684.0,0.2661
ba_10418082,sbiz_commercial,,,,,,"{""competitor_count_1km"": 280, ""total_shops_1km"": 1000, ""competition_density"": 0.28, ""lat"": 34.741884464233, ""lng"": 127.731661018498, ""address_name"": ""전남 여수시 충무로 58-19"", ""region_2depth"": ""여수시"", ""region_3depth"": ""충무동""}",280.0,1000.0,0.28
ba_10432360,sbiz_commercial,,,,,,"{""competitor_count_1km"": 347, ""total_shops_1km"": 727, ""competition_density"": 0.4773, ""lat"": 36.8124272602662, ""lng"": 128.619097219677, ""address_name"": ""경북 영주시 지천로 136"", ""region_2depth"": ""영주시"", ""region_3depth"": ""가흥동""}",347.0,727.0,0.4773
ba_10469515,sbiz_commercial,,,,,,"{""competitor_count_1km"": 417, ""total_shops_1km"": 1000, ""competition_density"": 0.417, ""lat"": 35.8564139476407, ""lng"": 128.49509973596, ""address_name"": ""대구 달서구 서당로9안길 5"", ""region_2depth"": ""달서구"", ""region_3depth"": ""신당동""}",417.0,1000.0,0.417
ba_10476209,sbiz_commercial,,,,,,"{""competitor_count_1km"": 159, ""total_shops_1km"": 324, ""competition_density"": 0.4907, ""lat"": 35.0745916854218, ""lng"": 128.083466819226, ""address_name"": ""경남 사천시 정동면 진삼로 1378"", ""region_2depth"": ""사천시"", ""region_3depth"": ""정동면 고읍리""}",159.0,324.0,0.4907
ba_10497667,sbiz_commercial,,,,,,"{""competitor_count_1km"": 263, ""total_shops_1km"": 913, ""competition_density"": 0.2881, ""lat"": 37.8646574689072, ""lng"": 127.71875386574, ""address_name"": ""강원특별자치도 춘천시 터미널길 18"", ""region_2depth"": ""춘천시"", ""region_3depth"": ""온의동""}",263.0,913.0,0.2881
ba_10499851,sbiz_commercial,,,,,,"{""competitor_count_1km"": 306, ""total_shops_1km"": 866, ""competition_density"": 0.3533, ""lat"": 35.1133388389617, ""lng"": 129.014294873044, ""address_name"": ""부산 서구 구덕로339번길 31"", ""region_2depth"": ""서구"", ""region_3depth"": ""서대신동3가""}",306.0,866.0,0.3533
ba_10501929,sbiz_commercial,,,,,,"{""competitor_count_1km"": 192, ""total_shops_1km"": 584, ""competition_density"": 0.3288, ""lat"": 36.0862425741606, ""lng"": 129.393512469246, ""address_name"": ""경북 포항시 북구 신덕로 205"", ""region_2depth"": ""포항시 북구"", ""region_3depth"": ""양덕동""}",192.0,584.0,0.3288
ba_10509105,sbiz_commercial,,,,,,"{""competitor_count_1km"": 73, ""total_shops_1km"": 171, ""competition_density"": 0.4269, ""lat"": 37.1243243805041, ""lng"": 128.203532098165, ""address_name"": ""충북 제천시 청풍호로7안길 15"", ""region_2depth"": ""제천시"", ""region_3depth"": ""영천동""}",73.0,171.0,0.4269
ba_10571616,sbiz_commercial,,,,,,"{""competitor_count_1km"": 223, ""total_shops_1km"": 929, ""competition_density"": 0.24, ""lat"": 37.5712592151079, ""lng"": 127.057042937147, ""address_name"": ""서울 동대문구 전농로 71"", ""region_2depth"": ""동대문구"", ""region_3depth"": ""답십리동""}",223.0,929.0,0.24
ba_10580903,sbiz_commercial,,,,,,"{""competitor_count_1km"": 86, ""total_shops_1km"": 410, ""competition_density"": 0.2098, ""lat"": 37.6099259937222, ""lng"": 127.015458405282, ""address_name"": ""서울 성북구 서경로 60"", ""region_2depth"": ""성북구"", ""region_3depth"": ""길음동""}",86.0,410.0,0.2098
ba_10583009,sbiz_commercial,,,,,,"{""competitor_count_1km"": 410, ""total_shops_1km"": 959, ""competition_density"": 0.4275, ""lat"": 35.1808629175839, ""lng"": 126.893425907239, ""address_name"": ""광주 북구 저불로69번길 18"", ""region_2depth"": ""북구"", ""region_3depth"": ""용봉동""}",410.0,959.0,0.4275
ba_10597203,sbiz_commercial,,,,,,"{""competitor_count_1km"": 79, ""total_shops_1km"": 359, ""competition_density"": 0.2201, ""lat"": 35.1542390390288, ""lng"": 126.84323028565, ""address_name"": ""광주 서구 상무공원로 112"", ""region_2depth"": ""서구"", ""region_3depth"": ""치평동""}",79.0,359.0,0.2201
ba_10604883,sbiz_commercial,,,,,,"{""competitor_count_1km"": 372, ""total_shops_1km"": 1000, ""competition_density"": 0.372, ""lat"": 34.8887461243649, ""lng"": 128.624917070427, ""address_name"": ""경남 거제시 고현로11길 14"", ""region_2depth"": ""거제시"", ""region_3depth"": ""고현동""}",372.0,1000.0,0.372
ba_10605803,sbiz_commercial,,,,,,"{""competitor_count_1km"": 225, ""total_shops_1km"": 871, ""competition_density"": 0.2583, ""lat"": 37.4515079975283, ""lng"": 126.714442344577, ""address_name"": ""인천 남동구 용천로 22"", ""region_2depth"": ""남동구"", ""region_3depth"": ""구월동""}",225.0,871.0,0.2583
ba_10620671,sbiz_commercial,,,,,,"{""competitor_count_1km"": 262, ""total_shops_1km"": 624, ""competition_density"": 0.4199, ""lat"": 35.1363232604341, ""lng"": 126.908092609649, ""address_name"": ""광주 남구 백운로 29"", ""region_2depth"": ""남구"", ""region_3depth"": ""백운동""}",262.0,624.0,0.4199
