platform_shop_id,source,visibility_score,review_count,avg_rating,blog_mention_30d,sns_mention_30d,raw,tot_ppltn,avg_age,tot_household,adm_cd
ba_10015935,sgis_population,,,,,,"{""tot_ppltn"": 214516, ""avg_age"": 43.8, ""tot_household"": 0, ""adm_cd"": ""38111"", ""adm_nm"": ""창원시 의창구"", ""matched_level"": ""sigungu""}",214516,43.8,0,38111
ba_10016162,sgis_population,,,,,,"{""tot_ppltn"": 243412, ""avg_age"": 42.0, ""tot_household"": 0, ""adm_cd"": ""38112"", ""adm_nm"": ""창원시 성산구"", ""matched_level"": ""sigungu""}",243412,42.0,0,38112
ba_10019194,sgis_population,,,,,,"{""tot_ppltn"": 171779, ""avg_age"": 45.1, ""tot_household"": 0, ""adm_cd"": ""25050"", ""adm_nm"": ""대덕구"", ""matched_level"": ""sigungu""}",171779,45.1,0,25050
ba_10019807,sgis_population,,,,,,"{""tot_ppltn"": 270951, ""avg_age"": 46.3, ""tot_household"": 0, ""adm_cd"": ""21080"", ""adm_nm"": ""북구"", ""matched_level"": ""sigungu""}",270951,46.3,0,21080
ba_10020109,sgis_population,,,,,,"{""tot_ppltn"": 109389, ""avg_age"": 49.7, ""tot_household"": 0, ""adm_cd"": ""21040"", ""adm_nm"": ""영도구"", ""matched_level"": ""sigungu""}",109389,49.7,0,21040
ba_10022124,sgis_population,,,,,,"{""tot_ppltn"": 498558, ""avg_age"": 44.6, ""tot_household"": 0, ""adm_cd"": ""23060"", ""adm_nm"": ""부평구"", ""matched_level"": ""sigungu""}",498558,44.6,0,23060
ba_10024499,sgis_population,,,,,,"{""tot_ppltn"": 96890, ""avg_age"": 49.6, ""tot_household"": 0, ""adm_cd"": ""34030"", ""adm_nm"": ""보령시"", ""matched_level"": ""sigungu""}",96890,49.6,0,34030
ba_10040420,sgis_population,,,,,,"{""tot_ppltn"": 548672, ""avg_age"": 41.9, ""tot_household"": 0, ""adm_cd"": ""38070"", ""adm_nm"": ""김해시"", ""matched_level"": ""sigungu""}",548672,41.9,0,38070
ba_10040590,sgis_population,,,,,,"{""tot_ppltn"": 269641, ""avg_age"": 43.0, ""tot_household"": 0, ""adm_cd"": ""31260"", ""adm_nm"": ""양주시"", ""matched_level"": ""sigungu""}",269641,43.0,0,31260
ba_10040621,sgis_population,,,,,,"{""tot_ppltn"": 203534, ""avg_age"": 45.2, ""tot_household"": 0, ""adm_cd"": ""26010"", ""adm_nm"": ""중구"", ""matched_level"": ""sigungu""}",203534,45.2,0,26010
ba_10040679,sgis_population,,,,,,"{""tot_ppltn"": 348272, ""avg_age"": 43.8, ""tot_household"": 0, ""adm_cd"": ""38030"", ""adm_nm"": ""진주시"", ""matched_level"": ""sigungu""}",348272,43.8,0,38030
ba_10040685,sgis_population,,,,,,"{""tot_ppltn"": 214516, ""avg_age"": 43.8, ""tot_household"": 0, ""adm_cd"": ""38111"", ""adm_nm"": ""창원시 의창구"", ""matched_level"": ""sigungu""}",214516,43.8,0,38111
ba_10041246,sgis_population,,,,,,"{""tot_ppltn"": 452988, ""avg_age"": 45.2, ""tot_household"": 0, ""adm_cd"": ""11120"", ""adm_nm"": ""은평구"", ""matched_level"": ""sigungu""}",452988,45.2,0,11120
ba_10204887,sgis_population,,,,,,"{""tot_ppltn"": 396295, ""avg_age"": 44.3, ""tot_household"": 0, ""adm_cd"": ""22060"", ""adm_nm"": ""수성구"", ""matched_level"": ""sigungu""}",396295,44.3,0,22060
ba_10401021,sgis_population,,,,,,"{""tot_ppltn"": 245860, ""avg_age"": 45.7, ""tot_household"": 0, ""adm_cd"": ""11180"", ""adm_nm"": ""금천구"", ""matched_level"": ""sigungu""}",245860,45.7,0,11180
ba_10416959,sgis_population,,,,,,"{""tot_ppltn"": 210665, ""avg_age"": 44.6, ""tot_household"": 0, ""adm_cd"": ""31022"", ""adm_nm"": ""성남시 중원구"", ""matched_level"": ""sigungu""}",210665,44.6,0,31022
ba_10418082,sgis_population,,,,,,"{""tot_ppltn"": 267392, ""avg_age"": 45.9, ""tot_household"": 0, ""adm_cd"": ""36020"", ""adm_nm"": ""여수시"", ""matched_level"": ""sigungu""}",267392,45.9,0,36020
ba_10432360,sgis_population,,,,,,"{""tot_ppltn"": 100479, ""avg_age"": 49.9, ""tot_household"": 0, ""adm_cd"": ""37060"", ""adm_nm"": ""영주시"", ""matched_level"": ""sigungu""}",100479,49.9,0,37060
ba_10469515,sgis_population,,,,,,"{""tot_ppltn"": 539884, ""avg_age"": 43.9, ""tot_household"": 0, ""adm_cd"": ""22070"", ""adm_nm"": ""달서구"", ""matched_level"": ""sigungu""}",539884,43.9,0,22070
ba_10476209,sgis_population,,,,,,"{""tot_ppltn"": 109008, ""avg_age"": 47.5, ""tot_household"": 0, ""adm_cd"": ""38060"", ""adm_nm"": ""사천시"", ""matched_level"": ""sigungu""}",109008,47.5,0,38060
ba_10497667,sgis_population,,,,,,"{""tot_ppltn"": 292504, ""avg_age"": 44.0, ""tot_household"": 0, ""adm_cd"": ""32010"", ""adm_nm"": ""춘천시"", ""matched_level"": ""sigungu""}",292504,44.0,0,32010
ba_10499851,sgis_population,,,,,,"{""tot_ppltn"": 103883, ""avg_age"": 48.5, ""tot_household"": 0, ""adm_cd"": ""21020"", ""adm_nm"": ""서구"", ""matched_level"": ""sigungu""}",103883,48.5,0,21020
ba_10501929,sgis_population,,,,,,"{""tot_ppltn"": 266458, ""avg_age"": 45.5, ""tot_household"": 0, ""adm_cd"": ""37012"", ""adm_nm"": ""포항시 북구"", ""matched_level"": ""sigungu""}",266458,45.5,0,37012
ba_10509105,sgis_population,,,,,,"{""tot_ppltn"": 131583, ""avg_age"": 47.5, ""tot_household"": 0, ""adm_cd"": ""33030"", ""adm_nm"": ""제천시"", ""matched_level"": ""sigungu""}",131583,47.5,0,33030
ba_10571616,sgis_population,,,,,,"{""tot_ppltn"": 355999, ""avg_age"": 43.2, ""tot_household"": 0, ""adm_cd"": ""11060"", ""adm_nm"": ""동대문구"", ""matched_level"": ""sigungu""}",355999,43.2,0,11060
ba_10580903,sgis_population,,,,,,"{""tot_ppltn"": 432874, ""avg_age"": 43.2, ""tot_household"": 0, ""adm_cd"": ""11080"", ""adm_nm"": ""성북구"", ""matched_level"": ""sigungu""}",432874,43.2,0,11080
ba_10583009,sgis_population,,,,,,"{""tot_ppltn"": 432033, ""avg_age"": 43.2, ""tot_household"": 0, ""adm_cd"": ""24040"", ""adm_nm"": ""북구"", ""matched_level"": ""sigungu""}",432033,43.2,0,24040
ba_10597203,sgis_population,,,,,,"{""tot_ppltn"": 284014, ""avg_age"": 43.5, ""tot_household"": 0, ""adm_cd"": ""24020"", ""adm_nm"": ""서구"", ""matched_level"": ""sigungu""}",284014,43.5,0,24020
ba_10604883,sgis_population,,,,,,"{""tot_ppltn"": 238671, ""avg_age"": 42.0, ""tot_household"": 0, ""adm_cd"": ""38090"", ""adm_nm"": ""거제시"", ""matched_level"": ""sigungu""}",238671,42.0,0,38090
ba_10605803,sgis_population,,,,,,"{""tot_ppltn"": 500087, ""avg_age"": 44.0, ""tot_household"": 0, ""adm_cd"": ""23050"", ""adm_nm"": ""남동구"", ""matched_level"": ""sigungu""}",500087,44.0,0,23050
ba_10620671,sgis_population,,,,,,"{""tot_ppltn"": 211536, ""avg_age"": 44.2, ""tot_household"": 0, ""adm_cd"": ""24030"", ""adm_nm"": ""남구"", ""matched_level"": ""sigungu""}",211536,44.2,0,24030
ba_10627648,sgis_population,,,,,,"{""tot_ppltn"": 92990, ""avg_age"": 52.2, ""tot_household"": 0, ""adm_cd"": ""37080"", ""adm_nm"": ""상주시"", ""matched_level"": ""sigungu""}",92990,52.2,0,37080
ba_10636815,sgis_population,,,,,,"{""tot_ppltn"": 47655, ""avg_age"": 51.4, ""tot_household"": 0, ""adm_cd"": ""36660"", ""adm_nm"": ""완도군"", ""matched_level"": ""sigungu""}",47655,51.4,0,36660
ba_10636817,sgis_population,,,,,,"{""tot_ppltn"": 355412, ""avg_age"": 42.9, ""tot_household"": 0, ""adm_cd"": ""38100"", ""adm_nm"": ""양산시"", ""matched_level"": ""sigungu""}",355412,42.9,0,38100
ba_10638951,sgis_population,,,,,,"{""tot_ppltn"": 100492, ""avg_age"": 50.6, ""tot_household"": 0, ""adm_cd"": ""37070"", ""adm_nm"": ""영천시"", ""matched_level"": ""sigungu""}",100492,50.6,0,37070
