feature,mean_abs_shap
monthly_order_count,1.3349192
order_cv,0.3955643
review_per_order,0.29454902
orders_log,0.22500305
sales_growth_mom,0.22334343
monthly_sales,0.16903165
order_growth_mom,0.1578299
avg_order_value,0.14844243
sales_rank_in_brand,0.14186774
peak_ratio,0.110406384
avg_delivery_price,0.10314649
months_since_treatment,0.09332834
marketing_reply_rate,0.09068155
ai_reply_rate,0.08884985
active_menu_ratio,0.084887385
weekend_ratio,0.07319131
post_treatment,0.06259957
sentiment_neg_kw,0.056758583
treated_x_post,0.05401679
sales_vs_brand_avg,0.052842654
sales_log,0.048739422
category_name,0.043470986
text_length_mean,0.043421853
sentiment_pos_kw,0.041935842
monthly_review_count,0.03924016
menu_count,0.035940085
rating_std,0.024574082
any_reply_rate,0.021320334
negative_review_ratio,0.02085087
avg_rating,0.013942156
avg_pickup_price,0.011263551
reviews_log,0.0066881888
brand_name,0.0031949198
rating_text_inconsist_rate,0.00040456525
owner_reply_rate,0.0
treated,0.0
group_type,0.0
